,central,west-central,north-central,east1,east2,south-central,west1,west2,north-europe,uk-west,japan-east,japan-west
central,0,15,14,32,35,23,37,36,102,110,139,131
west-central,15,0,29,46,50,23,28,21,-1,124,124,116
north-central,14,29,1,20,22,37,52,50,89,97,153,145
east1,32,46,19,1,6,29,64,67,85,79,150,161
east2,35,50,22,6,0,27,65,71,89,84,148,156
south-central,23,23,37,29,27,0,46,44,124,107,122,130
west1,46,28,52,64,65,46,0,22,139,138,117,109
west2,36,21,50,67,71,44,22,0,137,146,103,96
north-europe,102,-1,89,85,89,124,139,137,0,15,240,232
uk-west,110,124,97,79,84,107,138,146,15,0,231,240
japan-east,139,124,153,150,148,122,117,103,240,231,0,8
japan-west,131,116,145,161,156,130,109,96,232,241,8,0
